"field_0";"date";"open";"high";"low";"close";"volume";"market_cap";"unit_volume";"rolling20_d";"date_2";"bitfinex_shorts";"bitfinex_longs";"bitfinex_volume";"total__crypto__cap";"bitcoin_dominance"
105;2010;3897.08;3919.51;3871.46;3903.94;9175291529;68609900000.0;2350.26;2167.34;"2010";18064.9;23725.9;6591.0;133000000000.0;51.58
104;2009;3903.38;3939.37;3894.11;3911.48;9584165519;68749400000.0;2450.27;2205.73;"2009";19292.9;23813.8;7640.0;133000000000.0;51.54
103;2008;3913.23;3950.43;3875.23;3901.13;10638638944;68574600000.0;2727.07;2260.34;"2008";20295.8;23770.4;9360.0;132000000000.0;51.82
102;2007;3894.55;3987.24;3892.39;3963.31;10796103518;69674500000.0;2724.01;2300.73;"2007";20459.0;23082.3;7382.0;135000000000.0;51.59
101;2006;3966.17;3966.17;3924.38;3951.6;9713267607;69475300000.0;2458.06;2297.11;"2006";20676.9;23097.3;4674.0;135000000000.0;51.54
100;2005;3953.74;3966.38;3889.24;3905.23;10125901903;68666900000.0;2592.91;2300.93;"2005";20809.7;22400.0;6610.0;133000000000.0;51.7
99;2004;3903.76;3926.89;3863.56;3909.16;9809887079;68743000000.0;2509.46;2317.73;"2004";21126.4;22014.9;7626.0;134000000000.0;51.26
98;2003;3913.05;3926.6;3891.9;3906.72;9469184841;68706700000.0;2423.82;2340.6;"2003";21277.6;22024.2;5531.0;134000000000.0;51.18
97;2002;3905.58;3946.5;3901.3;3924.37;10480789570;69024700000.0;2670.69;2376.44;"2002";20694.9;21996.9;8303.0;135000000000.0;51.05
96;2001;3926.66;3968.54;3914.02;3960.91;9394210605;69675000000.0;2371.73;2387.33;"2001";22107.5;22549.0;6738.0;137000000000.0;50.7
95;2000;3963.9;4077.04;3961.66;4048.73;9856166973;71228000000.0;2434.38;2367.41;"2000";21984.3;22362.7;13945.0;141000000000.0;50.6
94;1999;4047.72;4054.12;4006.41;4025.23;8221625400;70821900000.0;2042.52;2349.54;"1999";22153.5;22420.6;3393.0;140000000000.0;50.74
93;1998;4029.97;4071.56;4009.12;4032.51;9646954186;70958200000.0;2392.3;2366.26;"1998";22433.9;22778.8;3680.0;140000000000.0;50.78
92;1997;4032.69;4082.22;4023.81;4071.19;9344919956;71647700000.0;2295.38;2373.25;"1997";23297.2;23944.1;5549.0;141000000000.0;50.81
91;1996;4070.79;4089.46;4031.11;4087.48;10175916388;71942400000.0;2489.53;2388.78;"1996";21544.9;23983.9;7817.0;142000000000.0;50.78
90;1995;4083.95;4097.36;4005.15;4029.33;10831212662;70926200000.0;2688.09;2423.93;"1995";20708.5;24933.3;11825.0;139000000000.0;50.96
89;1994;4028.51;4053.91;4021.54;4023.97;9252935969;70840000000.0;2299.45;2440.85;"1994";20370.5;24938.1;4836.0;140000000000.0;50.73
88;1993;4022.71;4049.88;4015.96;4035.83;9578850549;71056000000.0;2373.45;2465.25;"1993";20378.6;24171.9;4368.0;141000000000.0;50.47
87;1992;4035.16;4040.7;4006.19;4022.17;9144851065;70823000000.0;2273.61;2458.91;"1992";20401.1;23979.6;3364.0;140000000000.0;50.53
86;1991;4024.11;4038.84;3934.03;3963.07;10359818883;69789900000.0;2614.09;2459.05;"1991";20317.3;23606.9;6706.0;138000000000.0;50.58
85;1990;3969.23;3985.08;3944.75;3985.08;10707678815;70184100000.0;2686.94;2475.89;"1990";20012.4;23590.7;5092.0;139000000000.0;50.66
84;1989;3984.24;4087.07;3977.81;4087.07;10897131934;71987800000.0;2666.25;2486.69;"1989";19069.6;23979.2;7934.0;143000000000.0;50.18
83;1988;4087.58;4094.9;4040.27;4069.11;9353915899;71679000000.0;2298.76;2465.27;"1988";18059.7;23613.5;6215.0;143000000000.0;50.24
82;1987;4068.3;4113.5;4034.1;4098.37;10918665557;72202100000.0;2664.15;2462.28;"1987";18824.4;24004.4;8647.0;144000000000.0;50.19
81;1986;4092.14;4296.81;4053.91;4106.66;9732688060;72355200000.0;2369.98;2457.88;"1986";19144.8;23503.4;6635.0;144000000000.0;50.23
80;1985;4105.46;4113.02;4094.1;4105.4;9045122443;72339400000.0;2203.23;2438.39;"1985";19810.8;23539.4;2272.0;144000000000.0;50.09
79;2014;4105.36;4164.95;4096.9;4158.18;10157794171;73269400000.0;2442.85;2435.06;"2014";20551.0;23666.1;7006.0;146000000000.0;50.07
